/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
  poly   7: n_toric=19, h11_eff=13, 1548 χ=3 bundles, max h⁰=36 ★★★ HIT ★★★ [NF]
  poly   8: n_toric=20, h11_eff=15, 2596 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   9: n_toric=19, h11_eff=14, 2110 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly  10: n_toric=21, h11_eff=16, 1552 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  11: n_toric=18, h11_eff=13, 1678 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  12: n_toric=19, h11_eff=14, 2870 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  13: n_toric=19, h11_eff=14, 2046 χ=3 bundles, max h⁰=1 [NF]
  poly  14: n_toric=19, h11_eff=14, 1494 χ=3 bundles, max h⁰=1 [NF]
  poly  15: n_toric=21, h11_eff=16,  756 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  16: n_toric=21, h11_eff=16, 1162 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  17: n_toric=18, h11_eff=13, 1692 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  18: n_toric=21, h11_eff=16,  938 χ=3 bundles, max h⁰=1
  poly  19: n_toric=19, h11_eff=14, 3458 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  20: n_toric=18, h11_eff=12, 1070 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  21: n_toric=21, h11_eff=16,  752 χ=3 bundles, max h⁰=1
  poly  22: n_toric=18, h11_eff=13, 1324 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  23: n_toric=17, h11_eff=12, 1310 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  24: n_toric=21, h11_eff=15, 2554 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  25: n_toric=23, h11_eff=16, 1248 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  26: n_toric=22, h11_eff=16, 1120 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  27: n_toric=22, h11_eff=16, 1622 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  28: n_toric=20, h11_eff=14, 2364 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  29: n_toric=23, h11_eff=16, 1624 χ=3 bundles, max h⁰=1
  poly  30: n_toric=22, h11_eff=16, 1762 χ=3 bundles, max h⁰=1
  poly  31: n_toric=18, h11_eff=13, 1468 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  32: n_toric=23, h11_eff=16, 1732 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
