/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [20000/100000] 2155s, 9.3 poly/s, ETA 8620s, 9527 pass / 10473 skip
  [20100/100000] 2168s, 9.3 poly/s, ETA 8618s, 9560 pass / 10540 skip
  [20200/100000] 2181s, 9.3 poly/s, ETA 8617s, 9586 pass / 10614 skip
  [20300/100000] 2192s, 9.3 poly/s, ETA 8606s, 9624 pass / 10676 skip
  [20400/100000] 2204s, 9.3 poly/s, ETA 8598s, 9662 pass / 10738 skip
  [20500/100000] 2215s, 9.3 poly/s, ETA 8590s, 9708 pass / 10792 skip
  [20600/100000] 2228s, 9.2 poly/s, ETA 8586s, 9742 pass / 10858 skip
  [20700/100000] 2237s, 9.3 poly/s, ETA 8571s, 9794 pass / 10906 skip
  [20800/100000] 2250s, 9.2 poly/s, ETA 8566s, 9830 pass / 10970 skip
  [20900/100000] 2262s, 9.2 poly/s, ETA 8559s, 9859 pass / 11041 skip
  [21000/100000] 2273s, 9.2 poly/s, ETA 8551s, 9895 pass / 11105 skip
  [21100/100000] 2286s, 9.2 poly/s, ETA 8550s, 9923 pass / 11177 skip
  [21200/100000] 2299s, 9.2 poly/s, ETA 8546s, 9948 pass / 11252 skip
  [21300/100000] 2309s, 9.2 poly/s, ETA 8533s, 9984 pass / 11316 skip
  [21400/100000] 2323s, 9.2 poly/s, ETA 8531s, 10010 pass / 11390 skip
  [21500/100000] 2335s, 9.2 poly/s, ETA 8525s, 10047 pass / 11453 skip
  [21600/100000] 2349s, 9.2 poly/s, ETA 8525s, 10072 pass / 11528 skip
  [21700/100000] 2361s, 9.2 poly/s, ETA 8519s, 10104 pass / 11596 skip
  [21800/100000] 2372s, 9.2 poly/s, ETA 8510s, 10137 pass / 11663 skip
  [21900/100000] 2384s, 9.2 poly/s, ETA 8501s, 10177 pass / 11723 skip
  [22000/100000] 2395s, 9.2 poly/s, ETA 8493s, 10208 pass / 11792 skip
  [22100/100000] 2406s, 9.2 poly/s, ETA 8480s, 10241 pass / 11859 skip
  [22200/100000] 2420s, 9.2 poly/s, ETA 8479s, 10287 pass / 11913 skip
  [22300/100000] 2432s, 9.2 poly/s, ETA 8473s, 10327 pass / 11973 skip
  [22400/100000] 2443s, 9.2 poly/s, ETA 8465s, 10364 pass / 12036 skip
  [22500/100000] 2454s, 9.2 poly/s, ETA 8454s, 10397 pass / 12103 skip
  [22600/100000] 2468s, 9.2 poly/s, ETA 8453s, 10424 pass / 12176 skip
  [22700/100000] 2479s, 9.2 poly/s, ETA 8441s, 10468 pass / 12232 skip
  [22800/100000] 2489s, 9.2 poly/s, ETA 8429s, 10522 pass / 12278 skip
  [22900/100000] 2500s, 9.2 poly/s, ETA 8418s, 10560 pass / 12340 skip
  [23000/100000] 2512s, 9.2 poly/s, ETA 8409s, 10599 pass / 12401 skip
  [23100/100000] 2524s, 9.2 poly/s, ETA 8403s, 10633 pass / 12467 skip
  [23200/100000] 2536s, 9.1 poly/s, ETA 8394s, 10676 pass / 12524 skip
  [23300/100000] 2545s, 9.2 poly/s, ETA 8378s, 10723 pass / 12577 skip
  [23400/100000] 2555s, 9.2 poly/s, ETA 8365s, 10773 pass / 12627 skip
  [23500/100000] 2565s, 9.2 poly/s, ETA 8350s, 10813 pass / 12687 skip
  [23600/100000] 2576s, 9.2 poly/s, ETA 8338s, 10862 pass / 12738 skip
