
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly  178: n_toric=20, h11_eff=15,  2984 χ=3 bundles, max h⁰=1
  poly  179: n_toric=19, h11_eff=14,  2204 χ=3 bundles, max h⁰=1 [NF]
  poly  180: n_toric=20, h11_eff=15,  2308 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  181: n_toric=20, h11_eff=15,  2140 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  182: n_toric=20, h11_eff=15,  2554 χ=3 bundles, max h⁰=1
  poly  183: n_toric=20, h11_eff=15,  2516 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  184: n_toric=20, h11_eff=15,  2788 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  185: n_toric=20, h11_eff=15,  2452 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  186: n_toric=20, h11_eff=15,  2256 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  187: n_toric=21, h11_eff=15,  2406 χ=3 bundles, max h⁰=1
  poly  188: n_toric=20, h11_eff=15,  2514 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  189: n_toric=20, h11_eff=15,  2418 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  190: n_toric=20, h11_eff=15,  2692 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★
  poly  191: n_toric=20, h11_eff=15,  2682 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  192: n_toric=20, h11_eff=15,  2818 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  193: n_toric=20, h11_eff=15,  3106 χ=3 bundles, max h⁰=1
  poly  194: n_toric=21, h11_eff=15,  2398 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  195: n_toric=20, h11_eff=15,  2310 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  196: n_toric=20, h11_eff=15,  2556 χ=3 bundles, max h⁰=8 ★★★ HIT ★★★
  poly  197: n_toric=20, h11_eff=15,  2420 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  198: n_toric=21, h11_eff=15,  2122 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  199: n_toric=20, h11_eff=14,  1750 χ=3 bundles, max h⁰=1 [NF]
  poly  200: n_toric=21, h11_eff=15,  2320 χ=3 bundles, max h⁰=1
  poly  201: n_toric=20, h11_eff=15,  2558 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  202: n_toric=20, h11_eff=15,  2910 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  203: n_toric=21, h11_eff=15,  2462 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  204: n_toric=20, h11_eff=15,  1868 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  205: n_toric=20, h11_eff=15,  2494 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  206: n_toric=20, h11_eff=15,  2792 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  207: n_toric=20, h11_eff=15,  2866 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  208: n_toric=20, h11_eff=15,  2354 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  209: n_toric=20, h11_eff=15,  2684 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  210: n_toric=20, h11_eff=15,  2804 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  211: n_toric=20, h11_eff=15,  3036 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  212: n_toric=20, h11_eff=15,  3446 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  213: n_toric=20, h11_eff=15,  2862 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  214: n_toric=20, h11_eff=15,  2574 χ=3 bundles, max h⁰=15 ★★★ HIT ★★★
  poly  215: n_toric=19, h11_eff=14,  2606 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  216: n_toric=20, h11_eff=15,  2758 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  217: n_toric=20, h11_eff=15,  2066 χ=3 bundles, max h⁰=1
  poly  218: n_toric=19, h11_eff=14,  2062 χ=3 bundles, max h⁰=1 [NF]
  poly  219: n_toric=20, h11_eff=15,  2048 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  220: n_toric=20, h11_eff=15,  2316 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  221: n_toric=20, h11_eff=15,  2008 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★
  poly  222: n_toric=20, h11_eff=15,  2060 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  223: n_toric=20, h11_eff=15,  2186 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
