
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly  178: n_toric=21, h11_eff=16,   892 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  179: n_toric=21, h11_eff=16,  1058 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  180: n_toric=21, h11_eff=16,  1288 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  181: n_toric=21, h11_eff=16,  1236 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  182: n_toric=21, h11_eff=16,  1128 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  183: n_toric=20, h11_eff=15,  2350 χ=3 bundles, max h⁰=1 [NF]
  poly  184: n_toric=19, h11_eff=14,  2536 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  185: n_toric=20, h11_eff=15,  2588 χ=3 bundles, max h⁰=1 [NF]
  poly  186: n_toric=21, h11_eff=16,  1416 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  187: n_toric=21, h11_eff=16,  1368 χ=3 bundles, max h⁰=1
  poly  188: n_toric=20, h11_eff=14,  1970 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  189: n_toric=21, h11_eff=16,  1130 χ=3 bundles, max h⁰=1
  poly  190: n_toric=19, h11_eff=14,  1934 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  191: n_toric=22, h11_eff=16,  1560 χ=3 bundles, max h⁰=1
  poly  192: n_toric=23, h11_eff=16,  1246 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  193: n_toric=21, h11_eff=16,  1082 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  194: n_toric=20, h11_eff=14,  2112 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly  195: n_toric=21, h11_eff=15,  2474 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  196: n_toric=22, h11_eff=16,  1296 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly  197: n_toric=20, h11_eff=15,  2692 χ=3 bundles, max h⁰=1 [NF]
  poly  198: n_toric=20, h11_eff=15,  2576 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  199: n_toric=20, h11_eff=15,  2382 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  200: n_toric=22, h11_eff=16,  1102 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  201: n_toric=19, h11_eff=14,  2288 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly  202: n_toric=20, h11_eff=14,  1704 χ=3 bundles, max h⁰=1 [NF]
