poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_360,15,18,-6,14,20,True,6,6,16,0,282,89,77,7629.999999997456,,9,1,
poly_361,15,18,-6,14,20,True,7,7,15,0,281,86,605,7494.33333333282,89.0,8,1,
poly_362,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_363,15,18,-6,14,20,True,7,7,16,0,283,91,200,5826.49999999993,29.333333333333332,9,1,
poly_364,15,18,-6,14,20,True,7,7,14,0,281,88,568,7192.145833332384,44.5,8,2,
poly_365,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_366,15,18,-6,14,20,True,7,7,16,0,283,80,258,4390.499999999972,88.0,7,1,
poly_367,15,18,-6,14,20,True,7,7,15,0,277,80,1316,6259.161888593245,44.5,10,1,
poly_368,15,18,-6,14,20,True,7,7,15,0,281,78,466,2899.3333333332675,83.0,8,1,
poly_369,15,18,-6,14,20,True,7,7,15,0,271,83,1436,3467.813028234477,14.833333333333334,10,1,
poly_370,15,18,-6,14,20,True,7,7,14,0,266,78,429,5422.666666666419,17.8,10,1,
poly_371,15,18,-6,14,20,True,7,7,15,0,274,88,151,16820.33333286068,17.6,8,1,
poly_372,15,18,-6,14,20,True,7,7,15,0,291,86,677,10472.704216085058,89.0,11,1,
poly_373,15,18,-6,14,20,True,6,6,16,0,290,88,2144,2190.528615669495,,9,1,
poly_374,15,18,-6,14,20,True,7,7,15,0,273,87,931,17990.166666664343,96.0,9,1,
poly_375,15,18,-6,14,20,True,7,7,15,0,274,90,564,11791.333333332772,29.666666666666668,9,1,
poly_376,15,18,-6,14,20,True,7,7,14,0,273,91,248,11300.999999998568,84.0,10,1,
poly_377,15,18,-6,14,20,True,7,7,15,0,275,86,171,25078.286598526705,45.5,9,1,
poly_378,,,,14,19,False,,,,,,,,,,,,non-favorable
poly_379,15,18,-6,14,20,True,6,6,16,0,286,77,176,6393.999999999959,,7,2,
poly_380,15,18,-6,14,20,True,6,6,14,0,277,86,113,7210.450339262319,,6,2,
poly_381,15,18,-6,14,20,True,6,6,16,0,275,76,293,7895.1666666666015,,10,1,
poly_382,15,18,-6,14,21,True,7,7,16,0,276,90,3174,5283.067238586666,30.333333333333332,8,1,
poly_383,15,18,-6,14,20,True,6,6,15,0,279,79,507,7590.585937476505,,7,1,
poly_384,15,18,-6,14,20,True,6,6,16,0,277,84,411,5595.645286686061,,7,1,
