rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
191,719,22,4,17,1596,7,False,0.0,3,1,4,14,False,1,True,True,su(5) × su(8) or e7 × U(1)^3,1.3488681316375732
192,488,22,4,5,2946,6,False,0.0,2,1,3,15,False,1,True,True,su(6) × su(2) × su(2) × su(4) × U(1)^2,1.6337502002716064
193,167,22,3,6,2072,7,False,0.0,5,6,3,15,False,6,True,True,su(4) × su(3) × su(4) × su(5),1.7136707305908203
194,1707,22,3,6,2340,6,False,0.0,4,6,2,15,False,6,True,True,su(5) × su(2) × su(2) × su(3) × U(1)^3,1.317708969116211
195,201,22,2,5,2288,6,False,0.0,5,6,2,14,False,6,True,True,su(2) × su(2) × su(8) or e7 × U(1)^4,1.5152277946472168
196,149,21,37,6,2280,2,False,0.0,1,0,21,15,False,0,False,False,,1.5241658687591553
197,237,21,28,6,2036,4,False,0.0,1,0,20,15,False,0,False,False,,2.3249850273132324
198,1075,20,22,6,950,4,False,0.0,1,0,9,16,True,0,False,False,,1.3954048156738281
199,105,20,16,12,2506,0,False,0.0,1,0,11,15,False,0,False,False,,2.0966718196868896
200,1230,17,0,7,1140,6,False,0.0,6,11,0,16,True,11,True,True,su(4) × su(6) × su(3) × su(3) × U(1)^1,1.1309430599212646
