rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
51,1167,25,2,14,12,10,1540,2,True,2837.450351760184,3,3,9,False,3,True,True,su(6) × su(3) × su(2) × su(3) × U(1)^2,2.6062886714935303
52,121,25,2,14,10,6,1522,3,True,923.9999999997752,3,3,8,False,3,True,True,su(7) × su(3) × U(1)^4,2.602673053741455
53,819,25,2,14,9,5,1740,8,True,270.00000000000017,6,11,7,False,11,True,True,su(4) × su(3) × su(2) × su(3) × su(3),2.37489914894104
54,28,25,2,14,8,7,2364,9,True,412.4999999976483,4,4,7,False,4,True,True,su(3) × su(4) × su(5) × su(3),3.970797300338745
55,1147,25,2,14,2,13,1844,9,True,58.99999999999881,3,1,2,False,1,True,True,su(6) × su(7) × U(1)^3,3.3890013694763184
56,88,24,2,14,19,18,1500,3,True,4427.177937716932,1,0,15,False,0,False,False,,3.0711402893066406
57,1170,23,2,14,44,10,2470,8,False,0.0,3,3,21,False,3,True,False,su(2) × su(3) × su(2) × su(4) × su(3) × U(1)^1,5.5542824268341064
58,251,23,2,14,44,10,2128,4,False,0.0,4,4,25,False,4,True,True,su(8) or e7 × su(4) × U(1)^3,4.498876333236694
59,397,23,2,14,40,10,2172,7,False,0.0,4,4,22,False,4,True,True,su(8) or e7 × su(4) × U(1)^3,2.768002510070801
60,363,23,2,14,34,10,2308,4,False,0.0,4,4,20,False,4,True,True,su(2) × su(3) × su(2) × su(2) × su(5) × U(1)^3,2.1378846168518066
61,758,23,2,14,34,6,2272,3,False,0.0,3,3,19,False,3,True,True,su(3) × su(3) × su(4) × su(3) × U(1)^1,6.8068952560424805
62,53,23,2,14,30,12,1886,6,False,0.0,5,6,18,False,6,True,True,su(4) × su(4) × su(3) × su(5),3.5425193309783936
63,1101,23,2,14,27,10,2010,5,False,0.0,4,6,18,False,6,True,True,su(2) × su(3) × su(3) × su(4) × su(3) × U(1)^2,2.7716407775878906
64,208,23,2,14,26,7,2362,4,False,0.0,4,6,18,False,6,True,True,su(3) × su(3) × su(3) × su(2) × su(3) × U(1)^2,3.6978681087493896
65,412,23,2,14,26,10,2338,4,False,0.0,4,6,19,False,6,True,True,su(3) × su(3) × su(3) × su(4) × U(1)^3,4.714158058166504
66,1062,23,2,14,26,9,2124,6,False,0.0,4,4,19,False,4,True,True,su(3) × su(2) × su(3) × su(5) × U(1)^3,2.2140958309173584
67,1099,23,2,14,26,10,1830,3,False,0.0,4,6,16,False,6,True,True,su(2) × su(3) × su(2) × su(3) × su(3) × U(1)^2,2.431729316711426
68,292,23,2,14,24,13,2652,4,False,0.0,5,8,10,False,8,True,True,su(6) × su(4) × su(4) × U(1)^3,3.0476841926574707
69,1151,23,2,14,24,10,2426,4,False,0.0,3,3,17,False,3,True,False,su(2) × su(2) × su(4) × su(2) × su(2) × su(2) × U(1)^2,3.4883055686950684
70,383,23,2,14,24,10,2436,2,False,0.0,4,4,14,False,4,True,True,su(2) × su(3) × su(4) × su(5) × U(1)^2,3.704261302947998
71,2301,23,2,14,24,8,1750,4,False,0.0,3,3,15,False,3,True,False,su(2) × su(4) × su(2) × su(3) × su(2) × U(1)^2,2.6567976474761963
72,248,23,2,14,23,6,2702,3,False,0.0,6,13,12,False,13,True,True,su(3) × su(5) × su(3) × su(4) × U(1)^2,4.309377908706665
73,778,23,2,14,23,10,2352,4,False,0.0,3,3,15,False,3,True,True,su(4) × su(3) × su(2) × su(2) × su(3) × U(1)^1,5.088724136352539
74,585,23,2,14,23,9,2012,4,False,0.0,4,6,15,False,6,True,True,su(3) × su(2) × su(3) × su(5) × U(1)^2,3.356532096862793
