h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
16,19,2388,True,16,1496,1496,3,2,ok
16,19,2389,True,16,1236,1236,1,0,ok
16,19,2390,True,16,1550,1550,1,0,ok
16,19,2391,True,16,1544,1544,1,0,ok
16,19,2392,True,16,1306,1306,1,0,ok
16,19,2393,True,16,1538,1538,2,0,ok
16,19,2394,True,16,1266,1266,1,0,ok
16,19,2395,True,16,1302,1302,1,0,ok
16,19,2396,True,16,1544,1544,1,0,ok
16,19,2397,True,16,1546,1546,1,0,ok
16,19,2398,True,16,1308,1308,3,4,ok
16,19,2399,True,16,1428,1428,2,0,ok
16,19,2400,True,16,1336,1336,1,0,ok
16,19,2401,True,16,1232,1232,2,0,ok
16,19,2402,True,16,1242,1242,1,0,ok
