h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
15,18,161,False,14,2112,89,3,89,88,pass
15,18,162,True,15,2132,679,3,679,678,pass
15,18,163,True,15,2524,24,4,24,23,pass
15,18,164,True,15,2272,1,3,1,0,pass
15,18,165,True,15,2304,2304,0,-1,2304,skip
15,18,166,True,15,2572,67,3,67,66,pass
15,18,167,True,15,2686,67,3,67,66,pass
15,18,168,True,15,2538,1234,3,1234,1233,pass
15,18,169,True,15,2858,2858,0,-1,2858,skip
15,18,170,True,15,2592,135,3,135,134,pass
15,18,171,True,15,2878,113,3,113,112,pass
15,18,172,True,15,2800,153,3,153,152,pass
15,18,173,True,15,2916,98,3,98,97,pass
15,18,174,True,15,2976,93,3,93,92,pass
15,18,175,True,15,2702,115,3,115,114,pass
15,18,176,True,15,2616,367,4,367,366,pass
15,18,177,False,14,1740,1321,3,1321,1320,pass
15,18,178,True,15,2984,2984,0,-1,2984,skip
15,18,179,False,14,2204,2204,0,-1,2204,skip
15,18,180,True,15,2308,7,3,7,6,pass
15,18,181,True,15,2140,1,3,1,0,pass
15,18,182,True,15,2554,2554,0,-1,2554,skip
15,18,183,True,15,2516,8,3,8,7,pass
15,18,184,True,15,2788,97,3,97,96,pass
15,18,185,True,15,2452,1692,3,1692,1691,pass
15,18,186,True,15,2256,51,3,51,50,pass
15,18,187,True,15,2406,2406,0,-1,2406,skip
15,18,188,True,15,2514,45,3,45,44,pass
15,18,189,True,15,2418,81,3,81,80,pass
15,18,190,True,15,2692,657,3,657,656,pass
15,18,191,True,15,2682,83,3,83,82,pass
15,18,192,True,15,2818,107,3,107,106,pass
15,18,193,True,15,3106,3106,0,-1,3106,skip
15,18,194,True,15,2398,280,3,280,279,pass
15,18,195,True,15,2310,78,3,78,77,pass
15,18,196,True,15,2556,64,3,64,63,pass
15,18,197,True,15,2420,88,3,88,87,pass
15,18,198,True,15,2122,2122,0,-1,2122,skip
15,18,199,False,14,1750,1750,0,-1,1750,skip
15,18,200,True,15,2320,2320,0,-1,2320,skip
15,18,201,True,15,2558,98,3,98,97,pass
15,18,202,True,15,2910,1280,3,1280,1279,pass
15,18,203,True,15,2462,249,3,249,248,pass
15,18,204,True,15,1868,38,3,38,37,pass
15,18,205,True,15,2494,12,4,12,11,pass
15,18,206,True,15,2792,111,3,111,110,pass
