rank,h11,poly_idx,favorable,screen_score,clean_h0_3,h0_ge3,max_h0,n_dp,n_k3,has_swiss,best_tau,best_ratio,sym_order,n_chi3,elapsed_s
244,15,86,False,23,-1,-1,9,4,2,False,,,1,-1,0.9
245,15,36,False,23,-1,-1,6,4,1,False,None,None,1,-1,0.6
246,15,55,True,23,-1,-1,5,4,0,False,None,None,1,-1,0.7
247,15,28,True,23,-1,-1,4,1,0,True,1754.9999999998342,0.09902446209756292,1,-1,0.6
248,16,40,False,23,-1,-1,4,1,1,True,102.4999999999999,0.005589796348594212,1,-1,0.6
249,17,83,True,23,-1,-1,3,3,1,True,1559.999999993001,0.009565100962418105,2,-1,0.6
250,15,56,True,22,-1,-1,4,5,3,False,None,None,2,-1,0.7
251,16,31,False,22,-1,-1,4,5,3,False,None,None,2,-1,0.8
252,17,7,False,22,-1,-1,4,5,1,False,None,None,2,-1,0.7
253,18,63,False,22,-1,-1,4,8,1,False,None,None,2,-1,0.6
254,16,48,True,22,-1,-1,3,3,2,True,6353.999999898369,0.0752853406304935,1,-1,0.6
255,18,98,True,22,-1,-1,3,3,3,True,25.999999999893575,0.0001243875110682874,1,-1,0.7
256,16,1156,False,22,-1,-1,12,1,2,False,,,1,-1,2.7
257,15,91,False,21,-1,-1,13,0,1,False,,,2,-1,1.7
258,15,48,False,21,-1,-1,8,3,1,False,None,None,1,-1,0.7
259,14,9,False,21,-1,-1,7,3,0,False,None,None,1,-1,0.6
260,14,21,True,21,-1,-1,6,3,2,False,None,None,1,-1,0.5
261,16,22,False,21,-1,-1,6,3,0,False,None,None,1,-1,0.7
262,17,32,False,21,-1,-1,6,3,0,False,None,None,1,-1,0.6
263,18,45,False,21,-1,-1,5,3,0,False,None,None,1,-1,0.7
264,15,10,False,21,-1,-1,4,5,1,False,None,None,1,-1,0.6
265,15,58,False,21,-1,-1,4,8,0,False,None,None,1,-1,0.6
266,15,61,False,21,-1,-1,4,0,1,True,14299.999756357727,0.0482194457985022,1,-1,0.7
267,15,64,True,21,-1,-1,4,5,0,False,None,None,1,-1,0.6
268,15,77,False,21,-1,-1,4,8,0,False,None,None,1,-1,0.7
269,15,81,True,21,-1,-1,4,6,4,False,None,None,1,-1,0.6
270,15,84,True,21,-1,-1,4,7,0,False,None,None,1,-1,0.6
271,15,85,True,21,-1,-1,4,10,1,False,None,None,1,-1,0.6
272,15,88,True,21,-1,-1,4,6,2,False,None,None,1,-1,0.6
273,16,69,False,21,-1,-1,4,6,2,False,None,None,1,-1,0.6
274,14,11,True,21,-1,-1,3,6,0,False,None,None,1,-1,0.5
275,15,57,True,21,-1,-1,3,6,2,False,None,None,1,-1,0.6
276,15,95,True,21,-1,-1,3,5,1,False,None,None,1,-1,0.7
277,15,96,True,21,-1,-1,3,7,1,False,None,None,1,-1,0.6
278,16,8,False,21,-1,-1,3,8,1,False,None,None,1,-1,0.6
279,16,62,False,21,-1,-1,3,5,0,False,None,None,1,-1,0.7
280,18,32,False,20,-1,-1,30,0,2,False,None,None,1,-1,0.7
281,15,14,False,20,-1,-1,20,0,0,False,,,1,-1,1.8
282,14,4,False,20,-1,-1,13,0,4,False,None,None,1,-1,0.4
283,19,64,False,20,-1,-1,10,0,2,False,None,None,1,-1,0.6
284,18,67,False,20,-1,-1,6,7,1,False,None,None,1,-1,0.6
285,18,68,False,20,-1,-1,6,6,1,False,None,None,1,-1,0.7
286,19,22,False,20,-1,-1,5,5,0,False,None,None,1,-1,0.7
287,15,30,False,20,-1,-1,4,4,2,False,None,None,2,-1,0.8
288,18,62,False,20,-1,-1,4,4,1,False,None,None,2,-1,0.7
289,19,44,False,20,-1,-1,4,2,0,True,5895.999988077986,0.012952212972948922,1,-1,0.7
290,16,4,False,20,-1,-1,3,4,0,False,None,None,2,-1,0.6
291,16,105,False,20,-1,-1,12,0,3,False,,,1,-1,0.6
292,15,22,False,19,-1,-1,6,2,3,False,None,None,1,-1,0.6
