h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,101905,True,18,2342,2342,0,-1,2342,skip
18,21,101906,True,18,2294,2294,0,-1,2294,skip
18,21,101907,True,18,2324,2324,0,-1,2324,skip
18,21,101908,True,18,2312,2312,0,-1,2312,skip
18,21,101909,True,18,1900,1900,0,-1,1900,skip
18,21,101910,True,18,1910,1910,0,-1,1910,skip
18,21,101911,True,18,2194,2194,0,-1,2194,skip
18,21,101912,True,18,1944,323,3,323,322,pass
18,21,101913,True,18,1796,1796,0,-1,1796,skip
18,21,101914,True,18,2006,2006,0,-1,2006,skip
18,21,101915,True,18,2420,2420,0,-1,2420,skip
18,21,101916,True,18,2072,2072,0,-1,2072,skip
18,21,101917,True,18,1774,1774,0,-1,1774,skip
18,21,101918,True,18,2118,2118,0,-1,2118,skip
18,21,101919,True,18,1662,1662,0,-1,1662,skip
18,21,101920,True,18,1930,1930,0,-1,1930,skip
18,21,101921,True,18,2230,2230,0,-1,2230,skip
18,21,101922,True,18,1888,1888,0,-1,1888,skip
18,21,101923,True,18,2060,2060,0,-1,2060,skip
18,21,101924,True,18,2012,2012,0,-1,2012,skip
18,21,101925,True,18,2016,2016,0,-1,2016,skip
18,21,101926,True,18,2250,2250,0,-1,2250,skip
18,21,101927,True,18,1916,1916,0,-1,1916,skip
18,21,101928,True,18,2108,2108,0,-1,2108,skip
18,21,101929,True,18,1910,1910,0,-1,1910,skip
18,21,101930,True,18,2246,2246,0,-1,2246,skip
18,21,101931,True,18,1744,1744,0,-1,1744,skip
18,21,101932,True,18,2016,2016,0,-1,2016,skip
18,21,101933,True,18,2394,2394,0,-1,2394,skip
18,21,101934,True,18,2248,2248,0,-1,2248,skip
18,21,101935,True,18,2082,2082,0,-1,2082,skip
18,21,101936,True,18,1808,1808,0,-1,1808,skip
18,21,101937,False,17,1884,1884,0,-1,1884,skip
18,21,101938,True,18,2224,2224,0,-1,2224,skip
18,21,101939,True,18,2078,2078,0,-1,2078,skip
18,21,101940,True,18,1760,1760,0,-1,1760,skip
18,21,101941,True,18,2398,2398,0,-1,2398,skip
18,21,101942,True,18,2264,2264,0,-1,2264,skip
18,21,101943,True,18,1852,1852,0,-1,1852,skip
18,21,101944,True,18,2086,2086,0,-1,2086,skip
18,21,101945,True,18,2038,2038,0,-1,2038,skip
18,21,101946,True,18,2216,2216,0,-1,2216,skip
18,21,101947,True,18,2164,2164,0,-1,2164,skip
18,21,101948,True,18,1974,1974,0,-1,1974,skip
18,21,101949,True,18,2158,2158,0,-1,2158,skip
18,21,101950,True,18,2128,2128,0,-1,2128,skip
18,21,101951,True,18,1934,1934,0,-1,1934,skip
18,21,101952,True,18,1902,1902,0,-1,1902,skip
18,21,101953,True,18,1666,1666,0,-1,1666,skip
18,21,101954,True,18,1934,1934,0,-1,1934,skip
18,21,101955,True,18,2020,2020,0,-1,2020,skip
18,21,101956,True,18,1892,1892,0,-1,1892,skip
18,21,101957,True,18,2320,2320,0,-1,2320,skip
18,21,101958,True,18,1894,1894,0,-1,1894,skip
18,21,101959,True,18,1916,1916,0,-1,1916,skip
18,21,101960,True,18,1984,1984,0,-1,1984,skip
18,21,101961,True,18,1572,1572,0,-1,1572,skip
